Quarter,Start,End,Subscribers_Millions
Q3 2011,01-07-2011,30-09-2018,21.5
Q4 2011,01-10-2011,31-12-2011,21.6
Q1 2012,01-01-2012,31-03-2012,24.43
Q2 2012,01-04-2012,30-06-2012,25.71
Q3 2012,01-07-2012,30-09-2012,27.49
Q4 2012,01-10-2012,31-12-2012,30.36
Q1 2013,01-01-2013,31-03-2013,34.24
Q2 2013,01-04-2013,30-06-2013,35.64
Q3 2013,01-07-2013,30-09-2013,38.01
Q4 2013,01-10-2013,31-12-2013,41.43
Q1 2014,01-01-2014,31-03-2014,46.43
Q2 2014,01-04-2014,30-06-2014,47.99
Q3 2014,01-07-2014,30-09-2014,50.65
Q4 2014,01-10-2014,31-12-2014,54.48
Q1 2015,01-01-2015,31-03-2015,59.62
Q2 2015,01-04-2015,30-06-2015,62.08
Q3 2015,01-07-2015,30-09-2015,66.02
Q4 2015,01-10-2015,31-12-2015,70.84
Q1 2016,01-01-2016,31-03-2016,77.71
Q2 2016,01-04-2016,30-06-2016,79.9
Q3 2016,01-07-2016,30-09-2016,83.28
Q4 2016,01-10-2016,31-12-2016,89.09
Q1 2017,01-01-2017,31-03-2017,94.36
Q2 2017,01-04-2017,30-06-2017,99.04
Q3 2017,01-07-2017,30-09-2017,104.02
Q4 2017,01-10-2017,31-12-2017,110.64
Q1 2018,01-01-2018,31-03-2018,118.9
Q2 2018,01-04-2018,30-06-2018,124.35
Q3 2018,01-07-2018,30-09-2018,130.42
Q4 2018,01-10-2018,31-12-2018,139.26
Q1 2019,01-01-2019,31-03-2019,148.86
Q2 2019,01-04-2019,30-06-2019,151.56
Q3 2019,01-07-2019,30-09-2019,158.33
Q4 2019,01-10-2019,31-12-2019,167.09
Q1 2020,01-01-2020,31-03-2020,182.86
Q2 2020,01-04-2020,30-06-2020,192.65
Q3 2020,01-07-2020,30-09-2020,192.65
